Date,Price,Open,High,Low,Vol.,Change %
1/1/2022,47738,46218,47918,46218,31.24K,3.29%
1/2/2022,47312,47739,47945,46718,27.02K,-0.89%
1/3/2022,46430,47294,47556,45704,41.06K,-1.86%
1/4/2022,45837,46436,47505,45602,55.59K,-1.28%
1/5/2022,43426,45833,47019,42535,83.74K,-5.26%
1/6/2022,43098,43432,43772,42481,63.08K,-0.76%
1/7/2022,41547,43098,43128,40810,88.36K,-3.60%
1/8/2022,41672,41551,42304,40574,52.54K,0.30%
1/9/2022,41848,41681,42764,41261,37.51K,0.42%
1/10/2022,41832,41849,42244,39697,85.50K,-0.04%
1/11/2022,42733,41829,43090,41288,61.78K,2.15%
1/12/2022,43901,42735,44244,42477,53.95K,2.73%
1/13/2022,42560,43900,44405,42338,53.42K,-3.05%
1/14/2022,43073,42562,43435,41849,50.50K,1.21%
1/15/2022,43097,43074,43778,42586,31.44K,0.06%
1/16/2022,43079,43079,43462,42643,28.66K,-0.04%
1/17/2022,42209,43081,43180,41559,41.44K,-2.02%
1/18/2022,42365,42210,42674,41301,47.32K,0.37%
1/19/2022,41678,42365,42558,41161,53.77K,-1.62%
1/20/2022,40716,41684,43487,40568,65.28K,-2.31%
1/21/2022,36476,40698,41105,35504,155.80K,-10.41%
1/22/2022,35075,36468,36750,34116,138.09K,-3.84%
1/23/2022,36270,35073,36513,34655,70.43K,3.40%
1/24/2022,36686,36269,37424,32986,153.77K,1.15%
1/25/2022,36951,36691,37502,35729,79.68K,0.72%
1/26/2022,36800,36962,38863,36280,107.87K,-0.41%
1/27/2022,37164,36800,37215,35543,83.52K,0.99%
1/28/2022,37745,37196,37996,36177,69.45K,1.56%
1/29/2022,38171,37737,38664,37350,42.77K,1.13%
1/30/2022,37918,38168,38313,37391,34.10K,-0.66%
1/31/2022,38499,37924,38701,36673,61.27K,1.53%
2/1/2022,38710,38476,39230,38038,55.20K,0.55%
2/2/2022,36890,38711,38854,36682,53.74K,-4.70%
2/3/2022,37288,36890,37304,36297,50.35K,1.08%
2/4/2022,41568,37288,41689,37041,95.49K,11.48%
2/5/2022,41412,41567,41900,40963,46.32K,-0.37%
2/6/2022,42392,41412,42615,41176,31.20K,2.37%
2/7/2022,43834,42385,44468,41695,76.60K,3.40%
2/8/2022,44038,43834,45400,42705,92.88K,0.47%
2/9/2022,44389,44038,44800,43163,50.92K,0.80%
2/10/2022,43521,44389,45755,43243,89.69K,-1.96%
2/11/2022,42388,43519,43915,42023,69.95K,-2.60%
2/12/2022,42205,42388,43006,41777,37.88K,-0.43%
2/13/2022,42061,42206,42725,41880,25.88K,-0.34%
2/14/2022,42550,42061,42800,41591,53.60K,1.16%
2/15/2022,44544,42550,44723,42460,56.34K,4.69%
2/16/2022,43884,44541,44553,43378,41.40K,-1.48%
2/17/2022,40553,43886,44167,40104,72.63K,-7.59%
2/18/2022,40000,40533,40936,39505,64.96K,-1.36%
2/19/2022,40090,40000,40434,39667,25.78K,0.23%
2/20/2022,38355,40090,40120,38042,47.92K,-4.33%
2/21/2022,37018,38355,39444,36869,91.82K,-3.49%
2/22/2022,38248,37018,38415,36400,82.75K,3.32%
2/23/2022,37225,38248,39195,37100,64.84K,-2.68%
2/24/2022,38339,37250,39352,34357,180.47K,2.99%
2/25/2022,39210,38339,39684,38043,83.78K,2.27%
2/26/2022,39116,39222,40095,38639,41.55K,-0.24%
2/27/2022,37689,39117,39839,37062,66.14K,-3.65%
2/28/2022,43188,37707,43978,37459,108.07K,14.59%
3/1/2022,44420,43187,44901,42877,90.67K,2.85%
3/2/2022,43913,44420,45294,43361,80.82K,-1.14%
3/3/2022,42463,43913,44077,41841,74.11K,-3.30%
3/4/2022,39143,42463,42849,38595,3.21B,-7.82%
3/5/2022,39396,39143,39600,38626,1.50B,0.65%
3/6/2022,38403,39396,39668,38115,1.93B,-2.52%
3/7/2022,38025,38421,39532,37182,3.02B,-0.99%
3/8/2022,38745,38021,39352,37887,2.67B,1.89%
3/9/2022,41929,38732,42539,38663,3.60B,8.22%
3/10/2022,39416,41934,42029,38604,3.62B,-5.99%
3/11/2022,38730,39423,40177,38236,2.79B,-1.74%
3/12/2022,38814,38730,39355,38667,1.11B,0.22%
3/13/2022,37792,38813,39272,37603,1.55B,-2.63%
3/14/2022,39671,37790,39914,37614,2.33B,4.97%
3/15/2022,39286,39673,39855,38221,2.25B,-0.97%
3/16/2022,41119,39283,41702,38953,4.47B,4.67%
3/17/2022,40915,41119,41406,40558,1.90B,-0.50%
3/18/2022,41768,40915,42308,40235,2.31B,2.08%
3/19/2022,42233,41768,42386,41530,224.59M,1.11%
3/20/2022,41276,42241,42301,40922,308.45M,-2.27%
3/21/2022,41022,41282,41532,40530,406.62M,-0.62%
3/22/2022,42373,41022,43328,40893,537.06M,3.29%
3/23/2022,42912,42373,43027,41795,433.96M,1.27%
3/24/2022,44013,42911,44251,42658,491.66M,2.57%
3/25/2022,44331,44013,45112,43622,494.09M,0.72%
3/26/2022,44548,44331,44818,44090,196.30M,0.49%
3/27/2022,46859,44542,46947,44445,388.79M,5.19%
3/28/2022,47105,46859,48199,46672,610.27M,0.52%
3/29/2022,47449,47126,48127,47029,478.82M,0.73%
3/30/2022,47075,47449,47714,46601,467.76M,-0.79%
3/31/2022,45525,47071,47624,45228,520.00M,-3.29%
4/1/2022,46297,45529,46728,44261,632.93M,1.70%
4/2/2022,45811,46299,47212,45641,345.93M,-1.05%
4/3/2022,46407,45813,47435,45554,398.86M,1.30%
4/4/2022,46629,46407,46899,45152,446.12M,0.48%
4/5/2022,45506,46614,47201,45388,421.11M,-2.41%
4/6/2022,43173,45494,45519,43122,649.52M,-5.13%
4/7/2022,43448,43166,43893,42747,390.85M,0.64%
4/8/2022,42275,43450,43979,42113,467.83M,-2.70%
4/9/2022,42767,42275,42809,42129,165.16M,1.16%
4/10/2022,42138,42760,43421,41884,255.83M,-1.47%
4/11/2022,39497,42144,42418,39202,608.38M,-6.27%
4/12/2022,40078,39507,40678,39265,468.27M,1.47%
4/13/2022,41133,40072,41515,39581,406.70M,2.63%
4/14/2022,39936,41133,41494,39585,294.29M,-2.91%
4/15/2022,40560,39936,40850,39781,233.09M,1.56%
4/16/2022,40225,40571,40691,40003,147.57M,-0.83%
